[0218/150440:ERROR:renderer_main.cc(226)] Running without renderer sandbox
[0218/215112:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215112:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215112:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215112:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215112:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215112:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215112:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215112:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215112:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215113:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215114:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215115:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215115:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215115:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215115:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215115:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215115:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215115:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215115:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215115:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215115:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215115:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
[0218/215115:INFO:CONSOLE(22)] "maxExposableOverlayWidth()=821maxExposableOverlayHeight()=283", source: http://127.0.0.1:54321/_DRIVE_C_EVIRD_/Users/Christopher/Desktop/HPF%20Version%209.1/edge_includes/an.canvas.overlay.min.js (22)
